Team,LG_cy_stats %,LG_cy_stats2 %,LG_cy_stats3%,DC_cy_stats%,DC_cy_stats2%,DC_cy_stats3%,RF_cy_stats%,RF_cy_stats2%,RF_cy_stats3%,,,,,,,,,,,,,,,,,,
ATL,2%,0%,2%,0%,0%,0%,0%,1%,3%,,,,,,,,,,,,,,,,,,
BOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
BRK,1%,4%,0%,0%,0%,0%,6%,22%,0%,,,,,,,,,,,,,,,,,,
CHI,4%,1%,1%,0%,0%,0%,5%,3%,0%,,,,,,,,,,,,,,,,,,
CHO,2%,0%,0%,0%,0%,0%,0%,2%,0%,,,,,,,,,,,,,,,,,,
CLE,0%,5%,1%,0%,0%,0%,0%,4%,0%,,,,,,,,,,,,,,,,,,
DAL,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
DEN,4%,15%,1%,0%,0%,0%,1%,2%,0%,,,,,,,,,,,,,,,,,,
DET,0%,0%,0%,0%,0%,0%,2%,0%,0%,,,,,,,,,,,,,,,,,,
GSW,7%,50%,82%,100%,100%,100%,19%,36%,49%,,,,,,,,,,,,,,,,,,
HOU,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
IND,0%,2%,1%,0%,0%,0%,1%,1%,0%,,,,,,,,,,,,,,,,,,
LAC,0%,5%,3%,0%,0%,0%,1%,2%,2%,,,,,,,,,,,,,,,,,,
LAL,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
MEM,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
MIA,64%,4%,3%,100%,0%,0%,59%,4%,6%,,,,,,,,,,,,,,,,,,
MIL,0%,0%,2%,0%,0%,0%,0%,0%,1%,,,,,,,,,,,,,,,,,,
MIN,0%,0%,1%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
NOP,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
NYK,4%,0%,0%,0%,0%,0%,4%,0%,0%,,,,,,,,,,,,,,,,,,
OKC,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
ORL,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
PHI,6%,1%,0%,0%,0%,0%,11%,9%,0%,,,,,,,,,,,,,,,,,,
PHO,0%,4%,16%,0%,100%,0%,0%,26%,13%,,,,,,,,,,,,,,,,,,
POR,1%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
SAC,0%,0%,0%,0%,0%,0%,0%,0%,1%,,,,,,,,,,,,,,,,,,
SAS,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
TOR,2%,1%,0%,0%,0%,0%,7%,0%,1%,,,,,,,,,,,,,,,,,,
UTA,18%,4%,14%,0%,0%,0%,27%,5%,9%,,,,,,,,,,,,,,,,,,
WAS,0%,5%,1%,0%,0%,0%,3%,27%,1%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
